,items,total_sale
82,SAMBUCA                       ,182490.0
79,NIRVANA HOOKAH SINGLE         ,176899.8
78,MINT FLAVOUR SINGLE           ,164241.0
83,N R G  HOOKAH                 ,133650.0
84,CALCUTTA MINT                 ,78540.0
41,GREAT LAKES SHAKE                   ,76269.03000000003
74,CARLSBERG                     ,60795.0
33,JR.CHL AVALANCHE              ,57595.2
118,KF DRAUGHT (1LTR)             ,53235.0
86,GREEN APPLE FLAVOUR SINGLE    ,50787.0
85,SILVER APPLE SINGLE           ,48186.60000000001
54,POUTINE WITH FRIES            ,43022.40000000001
11,RED BULL ENERGY DRINK         ,40219.22
4,CAPPUCCINO                    ,38755.91
80,RED WINE SHEESHA              ,38115.0
90,THE  CHAMPAGNE SHEESHA        ,32175.0
55,OREO COOKIE SHAKE             ,32119.72
39,B.M.T. PANINI                 ,31185.58000000001
75,TUBORG                        ,28481.25
7,LEMON ICED TEA                ,26928.58000000001
42,KIT KAT SHAKE                 ,26896.78
131,KF DRAUGHT (1/2LTR)           ,25921.84
113,THE FERROR ROCHER SHAKE       ,24904.48
24,BERRY BLAST                   ,24805.319999999992
60,PHILLYCREAM CHEESE &CHILLY PAN,23259.230000000003
8,COUNTRY LEMONADE              ,21563.920000000006
38,COUNTRY ROAST CHICKEN PANINI  ,19630.689999999995
66,COTTAGE CHEESE PANINI         ,19601.410000000003
46,TOBLERONE SHAKE               ,17875.5
0,QUA  MINERAL WATER(1000ML)    ,17759.33
167,KF DRAUGHT PITCHER (2LTR)     ,17718.86
9,MIAMI MELONS                  ,17671.880000000005
81,RABAT HOOKAH SINGLE           ,17523.000000000004
115,SR.CHL AVALANCHE              ,17523.0
58,LINDT CHOCOLATE SHAKE         ,17052.75
14,PINK LEMONADE                 ,16935.58
48,NON-VEG CLUB WRAP             ,15828.6
59,MAGGI NDLCREAM/ CHEE/GARLIC   ,15221.500000000004
10,CAFFE LATTE                   ,14640.23
36,GARDEN FRESH PANINI           ,13513.760000000006
3,MOROCCAN MINT TEA             ,13198.489999999998
56,LAVA LAVA                     ,12994.069999999998
92,APPLE FLAVOUR SINGLE          ,12771.0
37,SATAY CHICKEN PANINI          ,11576.669999999996
40,VEG. CLUB WRAP                ,11508.619999999999
87,MISCHIEF HOOKAH SINGLE        ,10995.599999999999
89,BLUE BERRY SINGLE             ,10672.199999999999
276,REDBULL HOOKAH + 2REDBULL     ,10659.0
52,MAGGI NDL ARRABIATA           ,10234.290000000003
93,WHITE WINE SHEESHA            ,9900.0
2,MASALA CHAI CUTTING           ,9603.0
64,MT. BROWNIE                   ,9578.25
104,TROPICAL SMOOTHIE             ,9522.379999999996
62,CHICKEN SALAMI PANINI         ,9518.439999999997
25,COOL CALIFORNICA              ,9361.910000000003
91,AL SIKANDARI HOOKAH SINGLE    ,9345.599999999999
185,BLUEBERRY BRAIN FREEZER SHAKE ,9256.81
67,DUTCH TRUFFLE CAKE SHAKE      ,9188.309999999998
72,BAILEYS IRISH SHAKE           ,9132.75
231,ICED LEMON OR STR CAMOMILE    ,8712.0
268,RED BULL 2+1                  ,8662.619999999999
200,CHEESE FONDUE                 ,8575.97
19,ULTIMATE HOT CHOCOLATE        ,8229.239999999998
49,SNICKER BAR SHAKE             ,8185.960000000002
202,CHICKEN SLOUVLAKI WRAP        ,8118.0
289,THE AFTER EIGHT SHAKE         ,7796.25
235,LEMON INFUSED CHAR GRILLED VEG,7759.2699999999995
88,GRAPE FLAVOUR SINGLE          ,7722.0
53,MEZE PLATTER                  ,7351.02
16,CURRANT COOLER                ,7288.75
32,GOOEY CHOCOLATE FUDGE         ,7276.709999999999
50,THAT CHOCOLATE THING......... ,7103.25
68,POUTINE WITH WEDGES           ,7004.339999999997
34,VERTIGO                       ,6682.5
252,ORANGE ARRABIATA              ,6552.7300000000005
51,BLACK FOREST SHAKE            ,6515.350000000002
281,SMOKED CHICK & PESTO CREAM CRO,6410.25
243,MEDITER RANEAN PANINO         ,6107.179999999998
15,BLACK CURRANT ICED TEA        ,5785.45
27,THE CHOCO LATTE               ,5760.4800000000005
203,CHOCOLATE FONDUE              ,5630.659999999999
44,CAESARS SALAD WRAP            ,5574.9400000000005
117,HASH BROWN OMELETTE           ,5513.129999999999
271,RED SANGRIA (CARAFE) áááááááá ,5355.0
247,MIXED FLAVOUR SINGLE          ,5049.0
45,STRAWBERRY CHEESECAKE SHAKE   ,4844.750000000002
294,TRADITIONAL ITALIAN CRUSTINI  ,4294.09
210,CREPES WITH MUSHROOMS         ,4219.84
285,STRAWBERRY LITE SHAKE         ,4127.01
108,LINDT HOT CHOCOLATE           ,4102.31
234,JAPANESE YAKITORI WRAP        ,4083.8500000000004
232,ITALIAN CAPONATA PANINO       ,3867.25
23,STRAWBERRY ICED TEA           ,3786.8300000000004
229,HOTDOG WRAP                   ,3712.59
31,SPANISH OMELETTE BREAKFAST    ,3539.34
71,ROCKY ROAD SHAKE              ,3508.2699999999995
63,SCRAMBLED EGGS                ,3409.27
251,NUTELLA CREPES                ,3378.46
244,MEXICAN CHILLI CON CARNE WRAP ,3341.34
96,1+1 GLS 4SEASONS WHITE        ,3276.0
188,STRAWBERRY FLAVOUR SINGLE     ,3267.0
13,DOPPIO                        ,3192.75
129,HERBED CHICKEN PIE            ,3174.14
47,ADD FRIES                     ,3161.71
262,POLLO CON AIOLI               ,3118.5
237,M & M SHAKE                   ,3118.5
121,JUICE HOOKAH SINGLE           ,3115.2
280,SHERRIED MUSHROOMS CROQUE     ,3093.8
102,IRISH COFFEE                  ,3093.8
277,ROMA TOMATO & JALAPENO CROQUE ,3093.8
272,RED SANGRIA (GLS)á áááááááááá ,2866.5
279,SHERRIED GARLIC MUSHROOMS CRUS,2846.2
57,CHEESE CAKE OF THE WEEK       ,2843.7200000000003
116,APPLE PIE SHAKE               ,2840.0499999999997
70,THE GREAT INDIAN WRAP         ,2772.0
73,ITALIAN OMELETTE BREAKFAST    ,2759.7
112,BUN MASKA & CHAI              ,2747.25
43,KHEEMA GHOTALA                ,2722.6000000000004
111,THANK GOD ITS A SUNDAE        ,2685.3399999999997
156,PEACH FLAVOUR SINGLE          ,2673.0
175,B1G1 ZINZI RED (BTL)          ,2646.0
177,B1G1 ZINZI WHITE (BTL)        ,2646.0
17,CHAI LATTE                    ,2598.72
242,MATEUS ROSE PORTUGAL(BTL)     ,2520.0
124,MONSOON MALABAR (REG)         ,2475.0
95,1+1 GLS 4SEASON RED           ,2425.5
97,2 OCEAN PINOTAGE (BTL)        ,2394.0
259,PLAIN JANE (CHOCOLATE)        ,2351.25
197,CAJUN CHICKEN CRUSTINI        ,2332.7200000000003
226,GUAVA                         ,2310.0
35,HERBED GARDEN PIE             ,2276.97
176,B1G1 ZINZI RED (GLS)          ,2268.0
257,PESTO CREAM                   ,2258.4900000000002
284,SRILANKAN OMELETTE BREAKFAST  ,2252.3200000000006
65,SEASONAL FRUITPIE (LOWCAL)    ,2252.25
162,COOKIE MONSTER                ,2171.7799999999997
127,SUNSHINE SHAKE                ,2171.7799999999997
240,MAISON PIERRE SAUV MARSAN     ,2142.0
233,J.PCHENET SPARKLING ROSE (BTL),2142.0
69,MAGGI NDLTHAI STYLE           ,2079.0
228,HONEYGLAZED CHICK & MUSTERD CR,2079.0
147,APRICOT FLAVOUR SINGLE        ,2079.0
152,JAMAICAN BLUE MT (REG)        ,2041.9
101,ESPRESSO                      ,2029.5
100,KENYA AA  (REG)               ,2010.9700000000003
12,BRAZIL BOURBONSANTOS (REG)    ,1998.56
134,SANDASS                       ,1998.0
178,B1G1 ZINZI WHITE (GLS)        ,1890.0
128,CLASSIC BELGIAN  WAFFLE       ,1782.0
139,LEMON FLAVOUR SINGLE          ,1782.0
171,ASSORTED TAPAS(2 )VEG         ,1701.55
209,CREPES MONTE CRISTO           ,1633.52
238,MAGGI NDL BOLOGNESE           ,1590.19
296,VANILLA LITE SHAKE            ,1565.4199999999998
264,QUESO CROQUETAS FRITOS        ,1559.25
105,QUA  MINERAL WATER(500ML)     ,1559.21
138,MARRAKESH HOOKAH SINGLE       ,1557.6
161,GREAT LAKES FLOATS W CHOC           ,1546.9800000000007
1,MONSOON MALABAR (AULAIT)      ,1485.0
190,BUTTER MILK PAN CAKES         ,1484.9699999999998
18,GREAT LAKES CREAM                   ,1435.51
189,BUNUELOS DE CHIRIZO           ,1410.77
270,RED BULL 3+2                  ,1392.18
290,THE CHOC FATHER               ,1386.0
155,APPLE CINNAMON MUFFIN         ,1293.1599999999999
255,PESCADO PANINO                ,1287.04
6,BRAZIL BOURBONSANTOS (AULAIT) ,1280.79
182,BLACK FOREST CREPES           ,1256.0800000000002
22,COOKIE CRUMBLE                ,1225.17
170,ASSORTED TAPAS (2)NONVEG      ,1225.1399999999999
21,EARL GREY                     ,1225.12
114,CHUNKY CHOCO CHIP COOKIES     ,1225.1099999999997
288,SWEET MELON FLAVOUR SINGLE    ,1188.0
20,ORANGINA  (250ML)             ,1175.7200000000003
160,COLUMBIAN SUPREMO (AULAIT)    ,1169.43
211,CREPES WITH POTATO LAKTES     ,1150.86
283,SPICED LEMON AND BASIL VELOUTE,1144.6799999999998
172,B1G1 4SEASON CLAS SAUV(BTL)   ,1134.0
94,1+1 BTL4 SEASON WHITE         ,1134.0
183,BLACKENED BALTI CHICKEN CRUSTI,1126.1599999999999
258,PLAIN  JANE (STRAWBERRY)      ,1113.75
184,BLUE BERRY MUFFINS            ,1113.7299999999998
260,BODHI CUSHIONS                ,1100.26
295,VANILLA ICECREAM              ,1076.72
125,KENYA AA (AULAIT)             ,1076.63
141,SANGRIA ROSE (CARAFE)         ,1071.0
5,SUMATRA MANDHELING (REG)      ,1058.06
149,GREAT LAKES FLOAT W VANILLA         ,1051.95
207,COUS COUS WRAP                ,1039.5
130,TIRAMISU                      ,1039.5
123,HOUSEBLEND FULLCITY (REG)     ,940.4899999999998
220,GNOCCHI CON POMMODORO         ,928.15
230,ICE BULL                      ,928.15
181,BERRY BULL                    ,928.15
208,CREME BRULEE                  ,928.1400000000001
122,ADD ON S                      ,928.0299999999996
223,GREEK GYROS CRUSTINI          ,897.2
109,ETHOPIAN YIRGACHEFFE (AULAIT) ,897.19
204,CHERRY FLAVOUR SINGLE         ,891.0
61,BANANA WALNUT MUFFIN          ,884.7799999999997
261,PLAIN JANES (VANILLA)         ,866.25
199,CHAMPINONES CON AJO Y OLIVA   ,866.25
144,AFRICAN OMELETTE BREAKFAST    ,866.24
146,APPLE N CINNAMON CREPES       ,804.39
215,DIA SPARKLING WINE(GLS)       ,787.5
98,4 SEASONS CLAS SAUV(GLS       ,756.0
119,ROCKSTAR TOOTHPICK HOLDER     ,749.25
298,WARM PEPPER & CHICKPEA SALAD  ,723.94
274,JAVA ESTATES (AULAIT)         ,717.76
169,ASIAN WOK TOSSED SALAD        ,717.75
29,HOUSEBLEND FULLCITY (AU LAIT) ,711.55
28,COSTARICA TARRAZU (REG)       ,705.3699999999999
153,GREAT LAKES-JAVA BLEND (REG)        ,705.3599999999999
30,JAMAICAN BLUE MT (AU LAIT)    ,686.8199999999999
297,WAIST WATCHING OMELETTE       ,680.64
133,MM DAIRY GRAMAPHONE           ,680.4000000000001
300,WHITE SANGRIA (GLS)áááá áááááá,661.5
26,ADD HAZELNUT FLAVOUR          ,649.7400000000002
198,CARROT CAKE                   ,643.51
99,ADD HERB ROAST CHICKEN        ,618.8
180,ETHIOPIAN YIRGACHEFFE (REG)   ,618.76
192,C C C ROMA TOMATO SALAD       ,618.75
157,YEMENI GREAT LAKES (REG)            ,612.5699999999999
287,SUNNY SIDE UP/BULLS EYE       ,587.81
212,CRUMBED TOFU CRUSTINI         ,569.24
265,RASPBERRY LITE SHAKE          ,569.24
106,COLUMBIAN SUPREMO  (REG)      ,569.24
103,COSTARICA TARAZU (AULAIT)     ,569.24
302,ZINZI WHITE  (GLS)            ,567.0
239,LOTUS TEA LIGHT HOLDER        ,560.25
254,PEACH BULL                    ,556.89
137,CLASSIC MILD                  ,525.6
165,GREAT LAKES ORGANISER               ,504.0
136,MODEL-P (IRON ASHTRAY)        ,499.5
206,CINNA BUNS W CREAM CHESSE FROS,464.06
299,WHAT A MELON                  ,462.0
174,B1G1 4SEASON CLAS SYRAH(GLS)  ,441.0
217,ESPRESSO TRIOS                ,408.39
110,CHAMOMILE TEA                 ,408.36
135,ZERO SIZE SHOT GLS            ,400.5
218,GOA GIRLS SHOT GLASS          ,400.5
219,DAAKU SHOT GLASSES S-O 2      ,400.5
158,INDIAN PEABERRY (REG)         ,396.0
193,JODHPUR LILY                  ,394.88
195,JAIPUR LILY                   ,394.88
194,JAISALMER LILY                ,394.88
250,NIRVANA HOOKAH DOUBLE         ,389.4
301,ZINZI RED (GLS)               ,378.0
107,INDIAN PEABERRY (AULAIT)      ,371.25
293,TOMATOLINO                    ,371.24
186,GUATEMALA ANTIGUA (AULAIT)    ,358.88
267,GREAT LAKES T-SHIRTS                ,348.6
191,BUTTERED TOASTS               ,320.33
245,BENSON & HEDGES LIGHTS        ,298.79999999999995
278,ROSE FLAVORS SINGLE           ,297.0
269,ORANGE FLAVOUR SINGLE         ,297.0
241,MANGO FLAVOUR SINGLE          ,297.0
148,GREAT LAKES-JAVA BLEND (AULAIT)     ,284.62
151,SUMATRA MANDHELING (AULAIT)   ,284.62
201,DHARMATEA LIGHT HOLDER        ,280.13
227,HONEY ROASTED PEANUT BUTTER CK,272.24
216,ENG BREAKFAST TEA             ,272.24
205,CHOCOLATE ICECREAM            ,259.9
292,MUGS - CHIP PRINT             ,259.88
173,B1G1 4SEASON CLAS SAUV(GLS)   ,252.0
286,SULA BLUSH ZINFANDEL(GLS)     ,252.0
249,GREAT LAKES STAMP DAIRY             ,249.9
154,GRILLED CHICKEN SAUSAGES      ,247.5
76,FLAVORS (100 GMS)             ,236.25
263,POLLO PELOTA CON TAMATE SALSA ,235.13
224,HAWAIIAN KONA FANCY (AU LAIT) ,228.94
273,YEMENI GREAT LAKES (AULAIT)         ,228.94
163,MUGS - FLAMES                 ,226.14
159,CON PANNA                     ,222.75
282,HAWAIIAN KONA FANCY(REG)      ,204.19
246,MEXICAN CHILLY CREPES         ,204.19
266,BHOJPURI SHOT GLASSES         ,200.25
256,RECESSION BEER MUG SHOT GLS   ,200.25
164,LASSI DA GLASS                ,199.5
150,ADD CARAMEL FLAVOUR           ,185.64000000000001
145,ALIO AGLIO                    ,185.63
221,GOLD FLAKE KINGS-BIG          ,175.2
166,MUGS - DOTS                   ,169.88
179,B-BEANS G-TOMATO & WEDGES     ,160.88
196,CAFE ZABAGLIONE               ,154.69
77,MUGS WITH CIRCLE DESIGN       ,150.75
126,HOUSE BLEND DECAFF (REG)      ,142.31
253,COLUMBIAN SUP DCAFE (RGLR)    ,142.31
275,NEW ORLEANS BLUE (REG)        ,117.56
143,ADD TRADITIONAL MEAT FEAST    ,111.38
168,BENSON & HEDGES SPL           ,99.6
236,CLASSIC REGULAR               ,93.6
225,ADD CINNAMON FLAVOUR          ,92.82000000000001
214,DECAFFINATE COFFEE FRAPPE     ,92.81
213,CURRIED WASHINGTON APPLE SOUP ,92.81
140,CLASSIC MENTHOL               ,87.6
222,GOLD FLAKE ULTRA LIGHTS(20)   ,87.6
248,MOCAFE HOT CHOCOLATE(SF)      ,80.44
187,COOLER GLASS(PILSNER)         ,78.75
132,MUGS - PLAIN COLOUR           ,75.38
291,OATMEAL AND RAISIN COOKIES    ,68.06
120,TREE DIARY                    ,65.1
142,ADD POTATO WEDGES             ,43.31
