,items,total_sale,Categories
78,SAMBUCA                       ,220836.0,TOBACCO
75,NIRVANA HOOKAH SINGLE         ,217648.2,TOBACCO
117,ARABIAN MIST                  ,193578.0,TOBACCO
76,MINT FLAVOUR SINGLE           ,134244.0,TOBACCO
81,CALCUTTA MINT                 ,123816.0,TOBACCO
204,GRENADINE                     ,75306.0,BEVERAGE
251,RED BULL 2+1                  ,68682.25,BEVERAGE
43,GREAT LAKES SHAKE                   ,67622.29000000002,FOOD
82,GREEN APPLE FLAVOUR SINGLE    ,63855.0,TOBACCO
79,N R G  HOOKAH                 ,56925.0,TOBACCO
44,JR.CHL AVALANCHE              ,53833.2,FOOD
48,POUTINE WITH FRIES            ,48814.71000000001,FOOD
71,CARLSBERG                     ,47981.25,LIQUOR
84,SILVER APPLE SINGLE           ,46246.20000000001,TOBACCO
108,TUBORG                        ,43050.0,LIQUOR
10,CAPPUCCINO                    ,36753.75,BEVERAGE
38,OREO COOKIE SHAKE             ,36246.83,FOOD
73,KF DRAUGHT PITCHER (2LTR)     ,30937.5,LIQUOR
32,B.M.T. PANINI                 ,26635.170000000006,FOOD
6,RED BULL ENERGY DRINK         ,25833.220000000005,BEVERAGE
5,LEMON ICED TEA                ,23457.290000000008,BEVERAGE
23,BERRY BLAST                   ,22689.179999999993,BEVERAGE
72,KF DRAUGHT (1/2LTR)           ,22148.330000000005,LIQUOR
87,MISCHIEF HOOKAH SINGLE        ,21991.200000000008,TOBACCO
45,PHILLYCREAM CHEESE &CHILLY PAN,21957.33000000001,FOOD
3,QUA  MINERAL WATER(1000ML)    ,21648.380000000005,BEVERAGE
77,RABAT HOOKAH SINGLE           ,20638.200000000008,TOBACCO
83,RED WINE SHEESHA              ,20295.0,TOBACCO
80,BLUE BERRY SINGLE             ,19404.000000000007,TOBACCO
54,KIT KAT SHAKE                 ,18376.659999999996,FOOD
100,THE FERROR ROCHER SHAKE       ,18186.899999999998,FOOD
46,COTTAGE CHEESE PANINI         ,17801.770000000004,FOOD
0,CAFFE LATTE                   ,17788.08,BEVERAGE
7,COUNTRY LEMONADE              ,17145.94000000001,BEVERAGE
61,MAGGI NDLCREAM/ CHEE/GARLIC   ,16273.380000000005,FOOD
12,PINK LEMONADE                 ,15357.730000000001,BEVERAGE
86,THE  CHAMPAGNE SHEESHA        ,15345.0,TOBACCO
21,MOROCCAN MINT TEA             ,14980.57,BEVERAGE
59,SR.CHL AVALANCHE              ,14553.0,FOOD
