,items,total_sale,quantities,proportions,categories,month
84,NIRVANA HOOKAH SINGLE         ,243843.60000000006,754,8.936473899990235,TOBACCO,07
80,SAMBUCA                       ,228690.0,495,8.381118947508838,TOBACCO,07
81,CALCUTTA MINT                 ,188496.0,408,6.9080737991588,TOBACCO,07
76,MINT FLAVOUR SINGLE           ,141669.0,477,5.1919399194308,TOBACCO,07
78,N R G  HOOKAH                 ,105930.0,214,3.8821633220062584,TOBACCO,07
54,JR.CHL AVALANCHE              ,79796.93,403,2.9244285363419316,FOOD,07
25,GREAT LAKES SHAKE                   ,73076.25000000003,536,2.678126474650807,FOOD,07
86,GREEN APPLE FLAVOUR SINGLE    ,61182.0,206,2.242221432710157,TOBACCO,07
83,SILVER APPLE SINGLE           ,55624.80000000002,172,2.0385590328890193,TOBACCO,07
7,CAPPUCCINO                    ,52243.02,703,1.9146222606895063,BEVERAGE,07
24,POUTINE WITH FRIES            ,47065.32000000001,299,1.7248679226138737,FOOD,07
74,CARLSBERG                     ,41895.0,266,1.5353840496125006,LIQUOR,07
50,KIT KAT SHAKE                 ,36245.770000000004,217,1.3283488990075976,FOOD,07
70,KF DRAUGHT (1LTR)             ,34335.0,109,1.2583222662237787,LIQUOR,07
27,B.M.T. PANINI                 ,33784.35,260,1.2381418335487788,FOOD,07
87,RED WINE SHEESHA              ,33660.0,68,1.2335846069926428,TOBACCO,07
79,THE  CHAMPAGNE SHEESHA        ,32670.0,66,1.1973027067869768,TOBACCO,07
11,RED BULL ENERGY DRINK         ,28617.590000000004,185,1.0487884287946105,BEVERAGE,07
72,KF DRAUGHT (1/2LTR)           ,27890.540000000008,170,1.022143221173874,LIQUOR,07
40,PHILLYCREAM CHEESE &CHILLY PAN,25728.100000000006,198,0.9428932895771663,FOOD,07
36,SR.CHL AVALANCHE              ,24605.4,83,0.9017481488085791,FOOD,07
1,CAFFE LATTE                   ,24293.090000000004,279,0.8903024919871333,BEVERAGE,07
73,TUBORG                        ,22968.75,175,0.8417675710594851,LIQUOR,07
31,TOBLERONE SHAKE               ,22386.090000000007,134,0.8204140236111689,FOOD,07
56,THE FERROR ROCHER SHAKE       ,21006.400000000005,97,0.7698506146265675,FOOD,07
62,COUNTRY ROAST CHICKEN PANINI  ,20492.739999999998,144,0.7510258056774334,FOOD,07
111,MAGGI NDLCREAM/ CHEE/GARLIC   ,20295.33,131,0.7437910481828877,FOOD,07
4,BERRY BLAST                   ,20220.469999999994,172,0.7410475501531942,BEVERAGE,07
3,LEMON ICED TEA                ,20091.200000000004,191,0.7363100135475518,BEVERAGE,07
89,MISCHIEF HOOKAH SINGLE        ,19404.000000000007,60,0.7111252440310531,TOBACCO,07
37,COTTAGE CHEESE PANINI         ,19361.060000000005,149,0.7095515624201124,FOOD,07
41,LAVA LAVA                     ,18934.25000000001,102,0.6939096656253851,FOOD,07
116,KF DRAUGHT PITCHER (2LTR)     ,18309.500000000004,31,0.6710135876925668,LIQUOR,07
119,BLUE BERRY SINGLE             ,17787.000000000007,55,0.6518648070284655,TOBACCO,07
8,QUA  MINERAL WATER(1000ML)    ,17573.810000000005,284,0.6440517380336716,BEVERAGE,07
272,RED BULL 2+1                  ,17325.260000000002,56,0.6349427821790065,BEVERAGE,07
0,MASALA CHAI CUTTING           ,16824.3,340,0.6165834077072585,BEVERAGE,07
28,LINDT CHOCOLATE SHAKE         ,16731.0,52,0.6131641134757548,FOOD,07
49,GARDEN FRESH PANINI           ,16502.370000000003,127,0.6047851934312889,FOOD,07
14,ULTIMATE HOT CHOCOLATE        ,16340.979999999994,139,0.598870510730084,BEVERAGE,07
55,MAGGI NDL ARRABIATA           ,16295.420000000004,105,0.5972008103529429,FOOD,07
5,COUNTRY LEMONADE              ,15883.680000000004,151,0.5821112047057905,BEVERAGE,07
29,DUTCH TRUFFLE CAKE SHAKE      ,14861.959999999995,89,0.544666817758181,FOOD,07
44,SATAY CHICKEN PANINI          ,14658.019999999997,103,0.5371927463158139,FOOD,07
20,THE CHOCO LATTE               ,14577.559999999994,124,0.5342440173354623,BEVERAGE,07
255,ORANGE ARRABIATA              ,14571.889999999996,78,0.5340362209979209,FOOD,07
48,NON-VEG CLUB WRAP             ,12870.0,65,0.47166470267365757,FOOD,07
179,BLUEBERRY BRAIN FREEZER SHAKE ,12821.75,94,0.4698964181434319,BEVERAGE,07
120,RABAT HOOKAH SINGLE           ,12460.8,32,0.4566681839219823,TOBACCO,07
15,PINK LEMONADE                 ,12412.420000000006,118,0.4548951351018308,BEVERAGE,07
200,CHEESE FONDUE                 ,12251.399999999994,30,0.44899401230272307,FOOD,07
299,THE AFTER EIGHT SHAKE         ,12251.25,55,0.44898851504511633,BEVERAGE,07
10,MOROCCAN MINT TEA             ,11694.880000000001,210,0.4285984536133725,BEVERAGE,07
61,VEG. CLUB WRAP                ,11316.81,59,0.4147427990570532,FOOD,07
6,MIAMI MELONS                  ,10939.740000000005,104,0.4009237928847802,BEVERAGE,07
82,AL SIKANDARI HOOKAH SINGLE    ,10903.199999999997,28,0.39958466093173445,TOBACCO,07
42,GOOEY CHOCOLATE FUDGE         ,10698.490000000003,133,0.3920823702336519,FOOD,07
57,CHICKEN SALAMI PANINI         ,10665.109999999995,75,0.3908590471741919,FOOD,07
30,SNICKER BAR SHAKE             ,10357.759999999998,62,0.3795951663376148,FOOD,07
34,COOKIE MONSTER                ,10190.709999999995,61,0.3734730537827091,FOOD,07
33,BLACK FOREST SHAKE            ,10190.679999999998,61,0.3734719543311879,FOOD,07
35,BAILEYS IRISH SHAKE           ,9801.0,44,0.35919081203609304,FOOD,07
235,LEMON INFUSED CHAR GRILLED VEG,9188.639999999996,49,0.3367488075816064,FOOD,07
69,VERTIGO                       ,8464.5,38,0.310210246758444,FOOD,07
51,THAT CHOCOLATE THING......... ,8142.75,47,0.29841862919160256,FOOD,07
202,CHICKEN SLOUVLAKI WRAP        ,7920.0,40,0.29025520164532775,FOOD,07
22,IRISH COFFEE                  ,7889.1900000000005,51,0.2891260649328666,BEVERAGE,07
288,SMOKED CHICK & PESTO CREAM CRO,7796.25,45,0.2857199641196195,FOOD,07
88,GRAPE FLAVOUR SINGLE          ,7722.0,26,0.28299882160419454,TOBACCO,07
9,COOL CALIFORNICA              ,7468.489999999999,71,0.27370808976466077,BEVERAGE,07
85,WHITE WINE SHEESHA            ,7425.0,15,0.27211425154249475,TOBACCO,07
106,LINDT HOT CHOCOLATE           ,7239.3200000000015,30,0.26530937959280987,BEVERAGE,07
52,POUTINE WITH WEDGES           ,7196.15,35,0.26372726885353853,FOOD,07
135,MT. BROWNIE                   ,7128.0,32,0.26122968148079495,FOOD,07
266,POLLO CON AIOLI               ,5791.5,26,0.2122491162031459,FOOD,07
39,HERBED CHICKEN PIE            ,5680.090000000002,34,0.20816611973656696,FOOD,07
203,CHOCOLATE FONDUE              ,5615.219999999998,14,0.20578873906349454,FOOD,07
114,MEZE PLATTER                  ,5581.32,41,0.2045463588443309,FOOD,07
18,CURRANT COOLER                ,5407.770000000001,46,0.19818603179312555,BEVERAGE,07
43,ADD FRIES                     ,5370.5700000000015,124,0.1968227119066096,FOOD,07
77,STRAWBERRY FLAVOUR SINGLE     ,5346.0,18,0.1959222611105962,TOBACCO,07
242,MEDITER RANEAN PANINO         ,5327.54,41,0.1952457319411047,FOOD,07
47,STRAWBERRY CHEESECAKE SHAKE   ,5178.860000000002,31,0.1897968502011266,FOOD,07
16,TROPICAL SMOOTHIE             ,5172.660000000001,44,0.18956963022004056,BEVERAGE,07
108,JAMAICAN BLUE MT (REG)        ,5104.75,25,0.18708083845946802,BEVERAGE,07
60,ROCKY ROAD SHAKE              ,5011.810000000002,30,0.18367473764622105,FOOD,07
232,ITALIAN CAPONATA PANINO       ,4950.079999999997,32,0.18141243289905343,FOOD,07
142,THE GREAT INDIAN WRAP         ,4950.0,25,0.18140950102832984,FOOD,07
239,M & M SHAKE                   ,4900.5,22,0.17959540601804652,BEVERAGE,07
166,BBQ CHICKEN WINGS             ,4826.360000000001,26,0.1768782948248667,FOOD,07
231,ICED LEMON OR STR CAMOMILE    ,4752.0,12,0.17415312098719665,BEVERAGE,07
181,APPLE FLAVOUR SINGLE          ,4752.0,16,0.17415312098719665,TOBACCO,07
12,STRAWBERRY ICED TEA           ,4733.54,45,0.17347659181770514,BEVERAGE,07
59,SPANISH OMELETTE BREAKFAST    ,4665.51,29,0.1709834022510471,FOOD,07
38,CAESARS SALAD WRAP            ,4597.32,26,0.16848434894294168,FOOD,07
304,TRADITIONAL ITALIAN CRUSTINI  ,4553.92,32,0.16689380907533977,FOOD,07
254,NUTELLA CREPES                ,4504.64,28,0.16508777670954664,FOOD,07
63,BUN MASKA & CHAI              ,4455.0,60,0.16326855092549686,FOOD,07
126,COOKIE CRUMBLE                ,3947.76,29,0.14467902460193927,BEVERAGE,07
