,items,total_sale,quantities,proportions,categories,month
1,1+1 KF 1/2 LITER              ,22312.360000000004,136,0.8933367486603939,LIQUOR,09
140,ARABIAN MIST                  ,90090.0,195,3.325748026496728,TOBACCO,10
128,ARABIAN MIST                  ,238854.0,517,6.876087114629479,TOBACCO,12
117,ARABIAN MIST                  ,193578.0,419,7.284280162315217,TOBACCO,11
60,B.M.T. PANINI                 ,36643.06000000001,282,1.2936295378969256,FOOD,08
32,B.M.T. PANINI                 ,26635.170000000006,205,1.0022731945308527,FOOD,11
54,B.M.T. PANINI                 ,30013.62000000001,231,1.2715418692298677,FOOD,05
39,B.M.T. PANINI                 ,31185.58000000001,240,1.277010470119969,FOOD,04
35,B.M.T. PANINI                 ,30011.15000000001,231,1.2015789976748037,FOOD,09
27,B.M.T. PANINI                 ,33784.35,260,1.2381418335487788,FOOD,07
25,B.M.T. PANINI                 ,25208.350000000006,194,1.071435075933315,FOOD,06
48,B.M.T. PANINI                 ,31835.230000000003,245,1.1752242573600782,FOOD,10
46,B.M.T. PANINI                 ,40411.33,311,1.1633542896415372,FOOD,12
23,BERRY BLAST                   ,22689.179999999993,193,0.8537868134457381,BEVERAGE,11
12,BERRY BLAST                   ,21748.739999999994,185,0.9213961365871354,BEVERAGE,05
3,BERRY BLAST                   ,26921.50999999999,229,1.1442498263904417,BEVERAGE,06
4,BERRY BLAST                   ,20220.469999999994,172,0.7410475501531942,BEVERAGE,07
37,BERRY BLAST                   ,22218.959999999995,189,0.7844078239467516,BEVERAGE,08
6,BERRY BLAST                   ,21278.51999999999,181,0.6125623066408166,BEVERAGE,12
3,BERRY BLAST                   ,25510.659999999996,217,0.941747443108325,BEVERAGE,10
24,BERRY BLAST                   ,24805.319999999992,211,1.015746808450452,BEVERAGE,04
89,BLUE BERRY SINGLE             ,23608.200000000004,73,0.6796287264169564,TOBACCO,12
1,CAFFE LATTE                   ,24293.090000000004,279,0.8903024919871333,BEVERAGE,07
8,CAFFE LATTE                   ,23773.32,274,0.8392822260443239,BEVERAGE,08
13,CAFFE LATTE                   ,30555.0,352,0.8796119880240806,BEVERAGE,12
93,CALCUTTA MINT                 ,151074.0,327,5.333446191672858,TOBACCO,08
70,CALCUTTA MINT                 ,117810.0,255,5.0072998151685395,TOBACCO,06
83,CALCUTTA MINT                 ,125664.0,272,4.638992119010821,TOBACCO,10
84,CALCUTTA MINT                 ,136752.0,296,3.9367926226892185,TOBACCO,12
81,CALCUTTA MINT                 ,107646.0,233,4.56047607903073,TOBACCO,05
81,CALCUTTA MINT                 ,188496.0,408,6.9080737991588,TOBACCO,07
84,CALCUTTA MINT                 ,78540.0,170,3.216114701834063,TOBACCO,04
81,CALCUTTA MINT                 ,123816.0,268,4.659157717184912,TOBACCO,11
78,CALCUTTA MINT                 ,152448.8,330,6.1037073321324415,TOBACCO,09
14,CAPPUCCINO                    ,32150.25,433,1.362061256896287,BEVERAGE,05
10,CAPPUCCINO                    ,36753.75,495,1.3830322248173497,BEVERAGE,11
6,CAPPUCCINO                    ,50898.380000000005,685,1.7968927212711516,BEVERAGE,08
10,CAPPUCCINO                    ,43689.94,588,1.8569614505281773,BEVERAGE,06
4,CAPPUCCINO                    ,38755.91,522,1.5870060088357245,BEVERAGE,04
13,CAPPUCCINO                    ,43050.75,580,1.5892545993085139,BEVERAGE,10
7,CAPPUCCINO                    ,52243.02,703,1.9146222606895063,BEVERAGE,07
4,CAPPUCCINO                    ,44921.25,605,1.7985458920867496,BEVERAGE,09
11,CAPPUCCINO                    ,57766.5,778,1.662971883691476,BEVERAGE,12
74,CARLSBERG                     ,65073.78,404,1.8733325803973704,LIQUOR,12
72,CARLSBERG                     ,39375.0,250,1.4535612003919267,LIQUOR,10
67,CARLSBERG                     ,26456.25,168,1.0592487911071058,LIQUOR,09
84,CARLSBERG                     ,20947.5,133,0.7395207917978421,LIQUOR,08
74,CARLSBERG                     ,41895.0,266,1.5353840496125006,LIQUOR,07
61,CARLSBERG                     ,40005.0,254,1.7003397768085682,LIQUOR,06
74,CARLSBERG                     ,60795.0,386,2.489479160911661,LIQUOR,04
111,CARLSBERG                     ,46935.0,298,1.9884245096827313,LIQUOR,05
71,CARLSBERG                     ,47981.25,305,1.8055195711190684,LIQUOR,11
48,COTTAGE CHEESE PANINI         ,29748.770000000004,229,0.8564023800023279,FOOD,12
10,COUNTRY LEMONADE              ,21563.920000000006,205,0.9135661457939204,BEVERAGE,05
8,COUNTRY LEMONADE              ,21563.920000000006,205,0.8830155352835957,BEVERAGE,04
62,COUNTRY ROAST CHICKEN PANINI  ,20492.739999999998,144,0.7510258056774334,FOOD,07
25,GREAT LAKES SHAKE                   ,73076.25000000003,536,2.678126474650807,FOOD,07
43,GREAT LAKES SHAKE                   ,67622.29000000002,496,2.544605820792274,FOOD,11
39,GREAT LAKES SHAKE                   ,63791.48000000001,468,2.2520647236928615,FOOD,08
27,GREAT LAKES SHAKE                   ,68714.34000000001,503,2.9205780662204246,FOOD,06
37,GREAT LAKES SHAKE                   ,72820.83000000002,535,2.0963532988336975,FOOD,12
41,GREAT LAKES SHAKE                   ,76269.03000000003,560,3.123121322607885,FOOD,04
31,GREAT LAKES SHAKE                   ,70471.21000000002,517,2.6015039136678495,FOOD,10
35,GREAT LAKES SHAKE                   ,79090.61000000002,580,3.3507128456324313,FOOD,05
38,GREAT LAKES SHAKE                   ,60335.90000000001,443,2.415713834551731,FOOD,09
82,GREEN APPLE FLAVOUR SINGLE    ,63855.0,215,2.4028438653392334,TOBACCO,11
80,GREEN APPLE FLAVOUR SINGLE    ,58212.0,196,2.4661801972440855,TOBACCO,05
81,GREEN APPLE FLAVOUR SINGLE    ,50193.0,169,2.009614914133294,TOBACCO,09
86,GREEN APPLE FLAVOUR SINGLE    ,61182.0,206,2.242221432710157,TOBACCO,07
88,GREEN APPLE FLAVOUR SINGLE    ,68310.0,230,2.5217210310799367,TOBACCO,10
86,GREEN APPLE FLAVOUR SINGLE    ,50787.0,171,2.079664086606144,TOBACCO,04
74,GREEN APPLE FLAVOUR SINGLE    ,50193.0,169,2.1333621901600415,TOBACCO,06
85,GREEN APPLE FLAVOUR SINGLE    ,64152.0,216,1.8467965392152124,TOBACCO,12
95,GREEN APPLE FLAVOUR SINGLE    ,62073.0,209,2.1913963054907484,TOBACCO,08
206,GRENADINE                     ,43890.0,95,1.6202362180368675,BEVERAGE,10
204,GRENADINE                     ,75306.0,163,2.833741447392316,BEVERAGE,11
228,GRENADINE                     ,66528.0,144,1.9151964110379982,BEVERAGE,12
36,JR.CHL AVALANCHE              ,54236.8,274,2.2977688813627433,FOOD,05
56,JR.CHL AVALANCHE              ,66714.6,337,2.3552611918594737,FOOD,08
33,JR.CHL AVALANCHE              ,57595.2,291,2.3584513556795677,FOOD,04
31,JR.CHL AVALANCHE              ,59586.6,301,2.385713546560176,FOOD,09
34,JR.CHL AVALANCHE              ,59190.6,299,2.185070719693165,FOOD,10
44,JR.CHL AVALANCHE              ,53833.2,272,2.025726636466683,FOOD,11
54,JR.CHL AVALANCHE              ,79796.93,403,2.9244285363419316,FOOD,07
51,JR.CHL AVALANCHE              ,71257.2,360,2.051339792277189,FOOD,12
33,JR.CHL AVALANCHE              ,66318.6,335,2.818751494119653,FOOD,06
72,KF DRAUGHT (1/2LTR)           ,27890.540000000008,170,1.022143221173874,LIQUOR,07
131,KF DRAUGHT (1/2LTR)           ,25921.84,158,1.0614669050495327,LIQUOR,04
72,KF DRAUGHT (1/2LTR)           ,22148.330000000005,135,0.8334347955212422,LIQUOR,11
63,KF DRAUGHT (1/2LTR)           ,27070.24,165,1.150571324578287,LIQUOR,06
69,KF DRAUGHT (1/2LTR)           ,29531.169999999995,180,0.8501381493168739,LIQUOR,12
71,KF DRAUGHT (1/2LTR)           ,21656.239999999998,132,0.7994582910571595,LIQUOR,10
73,KF DRAUGHT (1LTR)             ,23329.600000000002,79,0.6716084384161869,LIQUOR,12
86,KF DRAUGHT (1LTR)             ,40949.94999999999,133,1.4456779781874705,LIQUOR,08
70,KF DRAUGHT (1LTR)             ,34335.0,109,1.2583222662237787,LIQUOR,07
118,KF DRAUGHT (1LTR)             ,53235.0,169,2.179906622767206,LIQUOR,04
109,KF DRAUGHT (1LTR)             ,43470.0,138,1.8416280693705833,LIQUOR,05
64,KF DRAUGHT (1LTR)             ,32445.0,103,1.3790157244982875,LIQUOR,06
75,KF DRAUGHT (1LTR)             ,31598.350000000006,107,1.1664796331785203,LIQUOR,10
75,KF DRAUGHT PITCHER (2LTR)     ,65625.0,125,1.8892010052063586,LIQUOR,12
73,KF DRAUGHT PITCHER (2LTR)     ,30937.5,59,1.1641685394085435,LIQUOR,11
87,KF DRAUGHT PITCHER (2LTR)     ,37603.21,68,1.3275262266781493,LIQUOR,08
55,KIT KAT SHAKE                 ,22219.120000000003,133,0.8896036286119053,FOOD,09
51,KIT KAT SHAKE                 ,32576.86,195,1.1500783053580357,FOOD,08
42,KIT KAT SHAKE                 ,26896.78,161,1.101389477845638,FOOD,04
57,KIT KAT SHAKE                 ,24214.179999999993,145,0.6970735725142505,FOOD,12
47,KIT KAT SHAKE                 ,21216.700000000008,127,0.8988559986062773,FOOD,05
50,KIT KAT SHAKE                 ,36245.770000000004,217,1.3283488990075976,FOOD,07
33,KIT KAT SHAKE                 ,28535.269999999997,171,1.053403461960831,FOOD,10
39,KIT KAT SHAKE                 ,23221.419999999995,139,0.9869842294707665,FOOD,06
68,LAVA LAVA                     ,23389.260000000006,126,0.8257235505318343,FOOD,08
30,LAVA LAVA                     ,20419.210000000006,110,0.8175392774056085,FOOD,09
0,LEMON ICED TEA                ,24719.570000000007,235,0.9125436912348514,BEVERAGE,10
3,LEMON ICED TEA                ,20091.200000000004,191,0.7363100135475518,BEVERAGE,07
25,LEMON ICED TEA                ,21353.54,203,0.7538554390016419,BEVERAGE,08
10,LEMON ICED TEA                ,25035.180000000008,238,1.0023523420798035,BEVERAGE,09
16,LEMON ICED TEA                ,27875.31000000001,265,1.1809513075317812,BEVERAGE,05
12,LEMON ICED TEA                ,26612.960000000006,253,0.76612923098692,BEVERAGE,12
8,LEMON ICED TEA                ,20196.440000000002,192,0.8584129554287624,BEVERAGE,06
7,LEMON ICED TEA                ,26928.58000000001,256,1.1026916480457696,BEVERAGE,04
5,LEMON ICED TEA                ,23457.290000000008,223,0.8826905547566106,BEVERAGE,11
32,MAGGI NDLCREAM/ CHEE/GARLIC   ,20790.319999999996,134,0.7674921268757403,FOOD,10
53,MAGGI NDLCREAM/ CHEE/GARLIC   ,24372.940000000006,157,0.8604509314830553,FOOD,08
49,MAGGI NDLCREAM/ CHEE/GARLIC   ,21068.770000000004,136,0.606524060380367,FOOD,12
111,MAGGI NDLCREAM/ CHEE/GARLIC   ,20295.33,131,0.7437910481828877,FOOD,07
80,MINT FLAVOUR SINGLE           ,149688.0,504,4.3091919248354955,TOBACCO,12
78,MINT FLAVOUR SINGLE           ,152658.0,514,6.467431741752347,TOBACCO,05
76,MINT FLAVOUR SINGLE           ,134244.0,452,5.051560126201552,TOBACCO,11
68,MINT FLAVOUR SINGLE           ,146124.0,492,6.21073489679728,TOBACCO,06
76,MINT FLAVOUR SINGLE           ,141669.0,477,5.1919399194308,TOBACCO,07
78,MINT FLAVOUR SINGLE           ,164241.0,553,6.725463391188291,TOBACCO,04
92,MINT FLAVOUR SINGLE           ,146718.0,494,5.179663994796314,TOBACCO,08
80,MINT FLAVOUR SINGLE           ,114048.0,384,4.2101777214551985,TOBACCO,10
75,MINT FLAVOUR SINGLE           ,132165.0,445,5.291589566800685,TOBACCO,09
104,MISCHIEF HOOKAH SINGLE        ,22314.60000000001,69,0.7877842539993858,TOBACCO,08
80,MISCHIEF HOOKAH SINGLE        ,27489.00000000001,85,1.1005977800611666,TOBACCO,09
93,MISCHIEF HOOKAH SINGLE        ,26842.200000000004,83,0.9909023607151791,TOBACCO,10
87,MISCHIEF HOOKAH SINGLE        ,21991.200000000008,68,0.8275220423059773,TOBACCO,11
87,N R G  HOOKAH                 ,54945.0,111,1.5817470359019181,TOBACCO,12
74,N R G  HOOKAH                 ,110385.0,223,4.676515169944142,TOBACCO,05
73,N R G  HOOKAH                 ,77715.0,157,3.303134752022944,TOBACCO,06
83,N R G  HOOKAH                 ,133650.0,270,5.472800227910906,TOBACCO,04
97,N R G  HOOKAH                 ,136620.0,276,4.823168902037054,TOBACCO,08
